# Conversion table for KeeperFX Korean language.
# Contains UTF-8 chars and corresponding EUC-KR Korean codes.
0xa1b0	가
0xa2b0	각
0xa3b0	간
0xa4b0	갇
0xa5b0	갈
0xa6b0	갉
0xa7b0	갊
0xa8b0	감
0xa9b0	갑
0xaab0	값
0xabb0	갓
0xacb0	갔
0xadb0	강
0xaeb0	갖
0xafb0	갗
0xb0b0	같
0xb1b0	갚
0xb2b0	갛
0xb3b0	개
0xb4b0	객
0xb5b0	갠
0xb6b0	갤
0xb7b0	갬
0xb8b0	갭
0xb9b0	갯
0xbab0	갰
0xbbb0	갱
0xbcb0	갸
0xbdb0	갹
0xbeb0	갼
0xbfb0	걀
0xc0b0	걋
0xc1b0	걍
0xc2b0	걔
0xc3b0	걘
0xc4b0	걜
0xc5b0	거
0xc6b0	걱
0xc7b0	건
0xc8b0	걷
0xc9b0	걸
0xcab0	걺
0xcbb0	검
0xccb0	겁
0xcdb0	것
0xceb0	겄
0xcfb0	겅
0xd0b0	겆
0xd1b0	겉
0xd2b0	겊
0xd3b0	겋
0xd4b0	게
0xd5b0	겐
0xd6b0	겔
0xd7b0	겜
0xd8b0	겝
0xd9b0	겟
0xdab0	겠
0xdbb0	겡
0xdcb0	겨
0xddb0	격
0xdeb0	겪
0xdfb0	견
0xe0b0	겯
0xe1b0	결
0xe2b0	겸
0xe3b0	겹
0xe4b0	겻
0xe5b0	겼
0xe6b0	경
0xe7b0	곁
0xe8b0	계
0xe9b0	곈
0xeab0	곌
0xebb0	곕
0xecb0	곗
0xedb0	고
0xeeb0	곡
0xefb0	곤
0xf0b0	곧
0xf1b0	골
0xf2b0	곪
0xf3b0	곬
0xf4b0	곯
0xf5b0	곰
0xf6b0	곱
0xf7b0	곳
0xf8b0	공
0xf9b0	곶
0xfab0	과
0xfbb0	곽
0xfcb0	관
0xfdb0	괄
0xfeb0	괆
0xa2b1	괍
0xa3b1	괏
0xa4b1	광
0xa5b1	괘
0xa6b1	괜
0xa7b1	괠
0xa8b1	괩
0xa9b1	괬
0xaab1	괭
0xabb1	괴
0xacb1	괵
0xadb1	괸
0xaeb1	괼
0xafb1	굄
0xb0b1	굅
0xb1b1	굇
0xb2b1	굉
0xb3b1	교
0xb4b1	굔
0xb5b1	굘
0xb6b1	굡
0xb7b1	굣
0xb8b1	구
0xb9b1	국
0xbab1	군
0xbbb1	굳
0xbcb1	굴
0xbdb1	굵
0xbeb1	굶
0xbfb1	굻
0xc0b1	굼
0xc1b1	굽
0xc2b1	굿
0xc3b1	궁
0xc4b1	궂
0xc5b1	궈
0xc6b1	궉
0xc7b1	권
0xc8b1	궐
0xc9b1	궜
0xcab1	궝
0xcbb1	궤
0xccb1	궷
0xcdb1	귀
0xceb1	귁
0xcfb1	귄
0xd0b1	귈
0xd1b1	귐
0xd2b1	귑
0xd3b1	귓
0xd4b1	규
0xd5b1	균
0xd6b1	귤
0xd7b1	그
0xd8b1	극
0xd9b1	근
0xdab1	귿
0xdbb1	글
0xdcb1	긁
0xddb1	금
0xdeb1	급
0xdfb1	긋
0xe0b1	긍
0xe1b1	긔
0xe2b1	기
0xe3b1	긱
0xe4b1	긴
0xe5b1	긷
0xe6b1	길
0xe7b1	긺
0xe8b1	김
0xe9b1	깁
0xeab1	깃
0xebb1	깅
0xecb1	깆
0xedb1	깊
0xeeb1	까
0xefb1	깍
0xf0b1	깎
0xf1b1	깐
0xf2b1	깔
0xf3b1	깖
0xf4b1	깜
0xf5b1	깝
0xf6b1	깟
0xf7b1	깠
0xf8b1	깡
0xf9b1	깥
0xfab1	깨
0xfbb1	깩
0xfcb1	깬
0xfdb1	깰
0xfeb1	깸
0xa2b2	깻
0xa3b2	깼
0xa4b2	깽
0xa5b2	꺄
0xa6b2	꺅
0xa7b2	꺌
0xa8b2	꺼
0xa9b2	꺽
0xaab2	꺾
0xabb2	껀
0xacb2	껄
0xadb2	껌
0xaeb2	껍
0xafb2	껏
0xb0b2	껐
0xb1b2	껑
0xb2b2	께
0xb3b2	껙
0xb4b2	껜
0xb5b2	껨
0xb6b2	껫
0xb7b2	껭
0xb8b2	껴
0xb9b2	껸
0xbab2	껼
0xbbb2	꼇
0xbcb2	꼈
0xbdb2	꼍
0xbeb2	꼐
0xbfb2	꼬
0xc0b2	꼭
0xc1b2	꼰
0xc2b2	꼲
0xc3b2	꼴
0xc4b2	꼼
0xc5b2	꼽
0xc6b2	꼿
0xc7b2	꽁
0xc8b2	꽂
0xc9b2	꽃
0xcab2	꽈
0xcbb2	꽉
0xccb2	꽐
0xcdb2	꽜
0xceb2	꽝
0xcfb2	꽤
0xd0b2	꽥
0xd1b2	꽹
0xd2b2	꾀
0xd3b2	꾄
0xd4b2	꾈
0xd5b2	꾐
0xd6b2	꾑
0xd7b2	꾕
0xd8b2	꾜
0xd9b2	꾸
0xdab2	꾹
0xdbb2	꾼
0xdcb2	꿀
0xddb2	꿇
0xdeb2	꿈
0xdfb2	꿉
0xe0b2	꿋
0xe1b2	꿍
0xe2b2	꿎
0xe3b2	꿔
0xe4b2	꿜
0xe5b2	꿨
0xe6b2	꿩
0xe7b2	꿰
0xe8b2	꿱
0xe9b2	꿴
0xeab2	꿸
0xebb2	뀀
0xecb2	뀁
0xedb2	뀄
0xeeb2	뀌
0xefb2	뀐
0xf0b2	뀔
0xf1b2	뀜
0xf2b2	뀝
0xf3b2	뀨
0xf4b2	끄
0xf5b2	끅
0xf6b2	끈
0xf7b2	끊
